id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
4004,LEBL,large_airport,"Josep Tarradellas Barcelona-El Prat Airport",41.2971,2.07846,12,EU,Spain,ES,Catalonia,ES-CT,CT,Barcelona,1,LEBL,BCN,,https://www.aena.es/en/josep-tarradellas-barcelona-el-prat.html,https://en.wikipedia.org/wiki/Barcelona%E2%80%93El_Prat_Airport,"El Prat Airport,Barcelona International,Josep Tarradellas Barcelona-El Prat Airport",1020675,2021-10-07T10:53:45+00:00
4019,LEMD,large_airport,"Adolfo Suárez Madrid–Barajas Airport",40.471926,-3.56264,1998,EU,Spain,ES,"Madrid (community)",ES-MD,MD,Madrid,1,LEMD,MAD,,https://www.aena.es/en/adolfo-suarez-madrid-barajas.html,https://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez_Madrid%E2%80%93Barajas_Airport,"Leganés, Madrid Barajas International Airport",1041675,2021-10-07T11:02:17+00:00
4035,LEPA,large_airport,"Palma de Mallorca Airport",39.551701,2.73881,27,EU,Spain,ES,"Islas Baleares",ES-IB,IB,"Palma de Mallorca",1,LEPA,PMI,,https://www.aena.es/en/palma-de-mallorca.html,https://en.wikipedia.org/wiki/Son_Sant_Joan_Airport,"Son Sant Joan Airport, LESJ",51200,2022-09-09T19:35:49+00:00
4020,LEMG,large_airport,"Málaga-Costa del Sol Airport",36.6749,-4.49911,53,EU,Spain,ES,Andalucía,ES-AN,AN,Málaga,1,LEMG,AGP,,https://www.aena.es/en/malaga-costa-del-sol.html,https://en.wikipedia.org/wiki/M%C3%A1laga_Airport,"Costa del Sol, Malaga",51275,2023-12-05T05:03:14+00:00
3081,GCLP,large_airport,"Gran Canaria Airport",27.9319,-15.3866,78,AF,Spain,ES,"Canary Islands",ES-CN,CN,"Gran Canaria Island",1,GCLP,LPA,,https://www.aena.es/en/gran-canaria.html,https://en.wikipedia.org/wiki/Gran_Canaria_Airport,"Canary Islands, Las Palmas Airport, Gando Airport",1012275,2022-11-01T17:26:09+00:00
3083,GCTS,large_airport,"Tenerife Sur Airport",28.0445,-16.5725,209,AF,Spain,ES,"Canary Islands",ES-CN,CN,Tenerife,1,GCTS,TFS,,https://www.aena.es/en/tenerife-sur.html,https://en.wikipedia.org/wiki/Tenerife%E2%80%93South_Airport,"Canary Islands, Reina Sofía, TCI, Tenerife South",1010675,2022-11-01T17:26:25+00:00
3997,LEAL,large_airport,"Alicante-Elche Miguel Hernández Airport",38.2822,-0.558156,142,EU,Spain,ES,"Valencia (community)",ES-VC,VC,Alicante,1,LEAL,ALC,,https://www.aena.es/en/alicante-elche.html,https://en.wikipedia.org/wiki/Alicante_Airport,,51150,2021-10-07T11:05:53+00:00
4042,LEVC,medium_airport,"Valencia Airport",39.4893,-0.481625,240,EU,Spain,ES,"Valencia (community)",ES-VC,VC,Valencia,1,LEVC,VLC,,https://www.aena.es/en/valencia.html,https://en.wikipedia.org/wiki/Valencia_Airport,,750,2021-10-07T11:35:53+00:00
4049,LEZL,medium_airport,"Sevilla Airport",37.417999,-5.89311,112,EU,Spain,ES,Andalucía,ES-AN,AN,Sevilla,1,LEZL,SVQ,,https://www.aena.es/en/seville.html,https://en.wikipedia.org/wiki/San_Pablo_Airport,,750,2024-09-15T09:03:48+00:00
4010,LEGE,medium_airport,"Girona-Costa Brava Airport",41.904639,2.761774,468,EU,Spain,ES,Catalonia,ES-CT,CT,Girona,1,LEGE,GRO,,https://www.aena.es/en/girona-costa-brava.html,https://en.wikipedia.org/wiki/Girona-Costa_Brava_Airport,"Girona, Costa Brava, Girona-Costa Brava",750,2024-06-08T08:10:32+00:00
4013,LEIB,large_airport,"Ibiza Airport",38.872898,1.37312,24,EU,Spain,ES,"Islas Baleares",ES-IB,IB,"Ibiza (Eivissa)",1,LEIB,IBZ,,https://www.aena.es/en/ibiza.html,https://en.wikipedia.org/wiki/Ibiza_Airport,,1050,2022-09-09T19:44:25+00:00
3082,GCRR,large_airport,"César Manrique-Lanzarote Airport",28.945499,-13.6052,46,AF,Spain,ES,"Canary Islands",ES-CN,CN,"San Bartolomé",1,GCRR,ACE,,https://www.lanzaroteairport.info/barrier-free-disability-assistance-service/,https://en.wikipedia.org/wiki/Lanzarote_Airport,"Arrecife Airport",1050,2024-01-25T09:25:30+00:00
4001,LEBB,medium_airport,"Bilbao Airport",43.301102,-2.91061,138,EU,Spain,ES,"Basque Country",ES-PV,PV,Bilbao,1,LEBB,BIO,,https://www.aena.es/en/bilbao.html,https://en.wikipedia.org/wiki/Bilbao_Airport,,750,2021-10-07T11:07:38+00:00
3077,GCFV,large_airport,"Fuerteventura Airport",28.4527,-13.8638,85,AF,Spain,ES,"Canary Islands",ES-CN,CN,"El Matorral",1,GCFV,FUE,,https://www.aena.es/en/fuerteventura.html,https://en.wikipedia.org/wiki/Fuerteventura_Airport,,1050,2022-09-13T15:14:12+00:00
4021,LEMH,medium_airport,"Menorca Airport",39.862598,4.21865,302,EU,Spain,ES,"Islas Baleares",ES-IB,IB,"Mahón (Maó)",1,LEMH,MAH,,https://www.aena.es/en/menorca.html,https://en.wikipedia.org/wiki/Menorca_Airport,,750,2023-03-24T19:07:44+00:00
4038,LEST,large_airport,"Santiago-Rosalía de Castro Airport",42.896301,-8.41514,1213,EU,Spain,ES,Galicia,ES-GA,GA,"Santiago de Compostela",1,LEST,SCQ,,https://www.aena.es/en/santiago-rosalia-de-castro.html,https://en.wikipedia.org/wiki/Santiago_de_Compostela_Airport,,1275,2021-10-07T11:31:04+00:00
3084,GCXO,medium_airport,"Tenerife Norte-Ciudad de La Laguna Airport",28.4827,-16.341499,2076,AF,Spain,ES,"Canary Islands",ES-CN,CN,Tenerife,1,GCXO,TFN,,https://www.aena.es/en/tenerife-norte-ciudad-de-la-laguna.html,https://en.wikipedia.org/wiki/Los_Rodeos_Airport,"Canary Islands, Los Rodeos, TCI",750,2022-11-01T17:27:01+00:00
4015,LEJR,medium_airport,"Jerez Airport",36.744598,-6.06011,93,EU,Spain,ES,Andalucía,ES-AN,AN,"Jerez de la Frontera",1,LEJR,XRY,,https://www.aena.es/en/jerez.html,https://en.wikipedia.org/wiki/Jerez_Airport,,750,2021-10-07T11:16:32+00:00
4031,LERS,medium_airport,"Reus Airport",41.1474,1.16717,233,EU,Spain,ES,Catalonia,ES-CT,CT,Reus,1,LERS,REU,,https://www.aena.es/en/reus.html,https://en.wikipedia.org/wiki/Reus_Airport,,750,2021-10-07T11:26:11+00:00
